K,array_key,bank,basis_index,method,response_norm,seed,semantic_direction
1,ERM__10__u005__K1__clean_task,clean_task,-1,ERM,1.948786735534668,10,source_color_common
5,ERM__10__u005__K5__source,source,-1,ERM,169.88507080078125,10,source_color_common
5,ERM__10__u005__K5__counterfactual_red,counterfactual_red,-1,ERM,183.52635192871094,10,source_color_common
5,ERM__10__u005__K5__counterfactual_green,counterfactual_green,-1,ERM,156.71017456054688,10,source_color_common
5,ERM__10__u005__K5__clean_task,clean_task,-1,ERM,26.97576141357422,10,source_color_common
20,ERM__10__u005__K20__source,source,-1,ERM,155.46661376953125,10,source_color_common
20,ERM__10__u005__K20__counterfactual_red,counterfactual_red,-1,ERM,186.55604553222656,10,source_color_common
20,ERM__10__u005__K20__counterfactual_green,counterfactual_green,-1,ERM,122.41232299804688,10,source_color_common
20,ERM__10__u005__K20__clean_task,clean_task,-1,ERM,32.559913635253906,10,source_color_common
1,ERM__10__u006__K1__source,source,-1,ERM,0.48910340666770935,10,source_color_contrast
1,ERM__10__u006__K1__counterfactual_red,counterfactual_red,-1,ERM,0.5041179656982422,10,source_color_contrast
1,ERM__10__u006__K1__counterfactual_green,counterfactual_green,-1,ERM,0.5820826888084412,10,source_color_contrast
1,ERM__10__u006__K1__clean_task,clean_task,-1,ERM,0.6113182902336121,10,source_color_contrast
5,ERM__10__u006__K5__source,source,-1,ERM,1.266158103942871,10,source_color_contrast
5,ERM__10__u006__K5__counterfactual_red,counterfactual_red,-1,ERM,1.462607979774475,10,source_color_contrast
5,ERM__10__u006__K5__counterfactual_green,counterfactual_green,-1,ERM,1.6517243385314941,10,source_color_contrast
5,ERM__10__u006__K5__clean_task,clean_task,-1,ERM,0.7799303531646729,10,source_color_contrast
20,ERM__10__u006__K20__source,source,-1,ERM,4.684877395629883,10,source_color_contrast
20,ERM__10__u006__K20__counterfactual_red,counterfactual_red,-1,ERM,4.277743816375732,10,source_color_contrast
20,ERM__10__u006__K20__counterfactual_green,counterfactual_green,-1,ERM,5.597346305847168,10,source_color_contrast
20,ERM__10__u006__K20__clean_task,clean_task,-1,ERM,2.7637126445770264,10,source_color_contrast
1,ERM__10__u007__K1__source,source,-1,ERM,13.314862251281738,10,color_global
1,ERM__10__u007__K1__counterfactual_red,counterfactual_red,-1,ERM,13.59131145477295,10,color_global
1,ERM__10__u007__K1__counterfactual_green,counterfactual_green,-1,ERM,13.293314933776855,10,color_global
1,ERM__10__u007__K1__clean_task,clean_task,-1,ERM,1.3780003786087036,10,color_global
5,ERM__10__u007__K5__source,source,-1,ERM,120.12688446044922,10,color_global
5,ERM__10__u007__K5__counterfactual_red,counterfactual_red,-1,ERM,129.77273559570312,10,color_global
5,ERM__10__u007__K5__counterfactual_green,counterfactual_green,-1,ERM,110.81082916259766,10,color_global
5,ERM__10__u007__K5__clean_task,clean_task,-1,ERM,19.074745178222656,10,color_global
20,ERM__10__u007__K20__source,source,-1,ERM,109.93150329589844,10,color_global
20,ERM__10__u007__K20__counterfactual_red,counterfactual_red,-1,ERM,131.91505432128906,10,color_global
20,ERM__10__u007__K20__counterfactual_green,counterfactual_green,-1,ERM,86.55858612060547,10,color_global
20,ERM__10__u007__K20__clean_task,clean_task,-1,ERM,23.023334503173828,10,color_global
1,ERM__10__u008__K1__source,source,-1,ERM,13.314862251281738,10,color_shift
1,ERM__10__u008__K1__counterfactual_red,counterfactual_red,-1,ERM,13.59131145477295,10,color_shift
1,ERM__10__u008__K1__counterfactual_green,counterfactual_green,-1,ERM,13.293314933776855,10,color_shift
1,ERM__10__u008__K1__clean_task,clean_task,-1,ERM,1.3780003786087036,10,color_shift
5,ERM__10__u008__K5__source,source,-1,ERM,120.12688446044922,10,color_shift
5,ERM__10__u008__K5__counterfactual_red,counterfactual_red,-1,ERM,129.77273559570312,10,color_shift
5,ERM__10__u008__K5__counterfactual_green,counterfactual_green,-1,ERM,110.81082916259766,10,color_shift
5,ERM__10__u008__K5__clean_task,clean_task,-1,ERM,19.074745178222656,10,color_shift
20,ERM__10__u008__K20__source,source,-1,ERM,109.93150329589844,10,color_shift
20,ERM__10__u008__K20__counterfactual_red,counterfactual_red,-1,ERM,131.91505432128906,10,color_shift
20,ERM__10__u008__K20__counterfactual_green,counterfactual_green,-1,ERM,86.55858612060547,10,color_shift
20,ERM__10__u008__K20__clean_task,clean_task,-1,ERM,23.023334503173828,10,color_shift
1,ERM__10__u009__K1__source,source,-1,ERM,2.3927674293518066,10,noise_global
1,ERM__10__u009__K1__counterfactual_red,counterfactual_red,-1,ERM,2.3386738300323486,10,noise_global
1,ERM__10__u009__K1__counterfactual_green,counterfactual_green,-1,ERM,3.821878433227539,10,noise_global
1,ERM__10__u009__K1__clean_task,clean_task,-1,ERM,1.0249061584472656,10,noise_global
5,ERM__10__u009__K5__source,source,-1,ERM,18.2233829498291,10,noise_global
5,ERM__10__u009__K5__counterfactual_red,counterfactual_red,-1,ERM,30.869972229003906,10,noise_global
5,ERM__10__u009__K5__counterfactual_green,counterfactual_green,-1,ERM,25.9981746673584,10,noise_global
5,ERM__10__u009__K5__clean_task,clean_task,-1,ERM,11.14629077911377,10,noise_global
20,ERM__10__u009__K20__source,source,-1,ERM,56.475433349609375,10,noise_global
20,ERM__10__u009__K20__counterfactual_red,counterfactual_red,-1,ERM,70.8221206665039,10,noise_global
20,ERM__10__u009__K20__counterfactual_green,counterfactual_green,-1,ERM,62.952842712402344,10,noise_global
20,ERM__10__u009__K20__clean_task,clean_task,-1,ERM,55.298309326171875,10,noise_global
1,ERM__10__u010__K1__source,source,-1,ERM,2.3927674293518066,10,noise_shift
1,ERM__10__u010__K1__counterfactual_red,counterfactual_red,-1,ERM,2.3386738300323486,10,noise_shift
1,ERM__10__u010__K1__counterfactual_green,counterfactual_green,-1,ERM,3.821878433227539,10,noise_shift
1,ERM__10__u010__K1__clean_task,clean_task,-1,ERM,1.0249061584472656,10,noise_shift
5,ERM__10__u010__K5__source,source,-1,ERM,18.2233829498291,10,noise_shift
5,ERM__10__u010__K5__counterfactual_red,counterfactual_red,-1,ERM,30.869972229003906,10,noise_shift
5,ERM__10__u010__K5__counterfactual_green,counterfactual_green,-1,ERM,25.9981746673584,10,noise_shift
5,ERM__10__u010__K5__clean_task,clean_task,-1,ERM,11.14629077911377,10,noise_shift
20,ERM__10__u010__K20__source,source,-1,ERM,56.475433349609375,10,noise_shift
20,ERM__10__u010__K20__counterfactual_red,counterfactual_red,-1,ERM,70.8221206665039,10,noise_shift
20,ERM__10__u010__K20__counterfactual_green,counterfactual_green,-1,ERM,62.952842712402344,10,noise_shift
20,ERM__10__u010__K20__clean_task,clean_task,-1,ERM,55.298309326171875,10,noise_shift
1,IRMv1__10__u000__K1__source,source,0,IRMv1,0.5534514784812927,10,source_env0_color
1,IRMv1__10__u000__K1__counterfactual_red,counterfactual_red,0,IRMv1,0.5129595398902893,10,source_env0_color
1,IRMv1__10__u000__K1__counterfactual_green,counterfactual_green,0,IRMv1,0.4389009177684784,10,source_env0_color
1,IRMv1__10__u000__K1__clean_task,clean_task,0,IRMv1,0.026532389223575592,10,source_env0_color
5,IRMv1__10__u000__K5__source,source,0,IRMv1,3.3541924953460693,10,source_env0_color
5,IRMv1__10__u000__K5__counterfactual_red,counterfactual_red,0,IRMv1,3.1389424800872803,10,source_env0_color
5,IRMv1__10__u000__K5__counterfactual_green,counterfactual_green,0,IRMv1,2.569718360900879,10,source_env0_color
5,IRMv1__10__u000__K5__clean_task,clean_task,0,IRMv1,0.184317484498024,10,source_env0_color
20,IRMv1__10__u000__K20__source,source,0,IRMv1,4.371805667877197,10,source_env0_color
20,IRMv1__10__u000__K20__counterfactual_red,counterfactual_red,0,IRMv1,4.429356575012207,10,source_env0_color
20,IRMv1__10__u000__K20__counterfactual_green,counterfactual_green,0,IRMv1,2.6885197162628174,10,source_env0_color
20,IRMv1__10__u000__K20__clean_task,clean_task,0,IRMv1,0.6696602702140808,10,source_env0_color
1,IRMv1__10__u001__K1__source,source,1,IRMv1,0.595761775970459,10,source_env1_color
1,IRMv1__10__u001__K1__counterfactual_red,counterfactual_red,1,IRMv1,0.5303006768226624,10,source_env1_color
1,IRMv1__10__u001__K1__counterfactual_green,counterfactual_green,1,IRMv1,0.4969247579574585,10,source_env1_color
1,IRMv1__10__u001__K1__clean_task,clean_task,1,IRMv1,0.033658068627119064,10,source_env1_color
5,IRMv1__10__u001__K5__source,source,1,IRMv1,3.387787342071533,10,source_env1_color
5,IRMv1__10__u001__K5__counterfactual_red,counterfactual_red,1,IRMv1,3.0874290466308594,10,source_env1_color
5,IRMv1__10__u001__K5__counterfactual_green,counterfactual_green,1,IRMv1,2.6663057804107666,10,source_env1_color
5,IRMv1__10__u001__K5__clean_task,clean_task,1,IRMv1,0.2006455659866333,10,source_env1_color
20,IRMv1__10__u001__K20__source,source,1,IRMv1,4.2830400466918945,10,source_env1_color
20,IRMv1__10__u001__K20__counterfactual_red,counterfactual_red,1,IRMv1,4.064627170562744,10,source_env1_color
20,IRMv1__10__u001__K20__counterfactual_green,counterfactual_green,1,IRMv1,3.0526647567749023,10,source_env1_color
20,IRMv1__10__u001__K20__clean_task,clean_task,1,IRMv1,0.4199088215827942,10,source_env1_color
1,IRMv1__10__u002__K1__source,source,2,IRMv1,0.0,10,evaluation_color
1,IRMv1__10__u002__K1__counterfactual_red,counterfactual_red,2,IRMv1,0.0,10,evaluation_color
1,IRMv1__10__u002__K1__counterfactual_green,counterfactual_green,2,IRMv1,0.0,10,evaluation_color
1,IRMv1__10__u002__K1__clean_task,clean_task,2,IRMv1,0.0,10,evaluation_color
5,IRMv1__10__u002__K5__source,source,2,IRMv1,0.0,10,evaluation_color
5,IRMv1__10__u002__K5__counterfactual_red,counterfactual_red,2,IRMv1,0.0,10,evaluation_color
5,IRMv1__10__u002__K5__counterfactual_green,counterfactual_green,2,IRMv1,0.0,10,evaluation_color
5,IRMv1__10__u002__K5__clean_task,clean_task,2,IRMv1,0.0,10,evaluation_color
20,IRMv1__10__u002__K20__source,source,2,IRMv1,0.0,10,evaluation_color
20,IRMv1__10__u002__K20__counterfactual_red,counterfactual_red,2,IRMv1,0.0,10,evaluation_color
20,IRMv1__10__u002__K20__counterfactual_green,counterfactual_green,2,IRMv1,0.0,10,evaluation_color
20,IRMv1__10__u002__K20__clean_task,clean_task,2,IRMv1,0.0,10,evaluation_color
1,IRMv1__10__u003__K1__source,source,3,IRMv1,4.218096733093262,10,source_label_noise
1,IRMv1__10__u003__K1__counterfactual_red,counterfactual_red,3,IRMv1,3.782966136932373,10,source_label_noise
1,IRMv1__10__u003__K1__counterfactual_green,counterfactual_green,3,IRMv1,3.5282328128814697,10,source_label_noise
1,IRMv1__10__u003__K1__clean_task,clean_task,3,IRMv1,0.22482585906982422,10,source_label_noise
5,IRMv1__10__u003__K5__source,source,3,IRMv1,35.81367492675781,10,source_label_noise
5,IRMv1__10__u003__K5__counterfactual_red,counterfactual_red,3,IRMv1,31.213787078857422,10,source_label_noise
5,IRMv1__10__u003__K5__counterfactual_green,counterfactual_green,3,IRMv1,30.794170379638672,10,source_label_noise
5,IRMv1__10__u003__K5__clean_task,clean_task,3,IRMv1,2.374716281890869,10,source_label_noise
20,IRMv1__10__u003__K20__source,source,3,IRMv1,33.07709884643555,10,source_label_noise
20,IRMv1__10__u003__K20__counterfactual_red,counterfactual_red,3,IRMv1,29.891157150268555,10,source_label_noise
20,IRMv1__10__u003__K20__counterfactual_green,counterfactual_green,3,IRMv1,27.04981803894043,10,source_label_noise
20,IRMv1__10__u003__K20__clean_task,clean_task,3,IRMv1,1.4765598773956299,10,source_label_noise
1,IRMv1__10__u004__K1__source,source,4,IRMv1,0.0,10,evaluation_label_noise
1,IRMv1__10__u004__K1__counterfactual_red,counterfactual_red,4,IRMv1,0.0,10,evaluation_label_noise
1,IRMv1__10__u004__K1__counterfactual_green,counterfactual_green,4,IRMv1,0.0,10,evaluation_label_noise
1,IRMv1__10__u004__K1__clean_task,clean_task,4,IRMv1,0.0,10,evaluation_label_noise
5,IRMv1__10__u004__K5__source,source,4,IRMv1,0.0,10,evaluation_label_noise
5,IRMv1__10__u004__K5__counterfactual_red,counterfactual_red,4,IRMv1,0.0,10,evaluation_label_noise
5,IRMv1__10__u004__K5__counterfactual_green,counterfactual_green,4,IRMv1,0.0,10,evaluation_label_noise
5,IRMv1__10__u004__K5__clean_task,clean_task,4,IRMv1,0.0,10,evaluation_label_noise
20,IRMv1__10__u004__K20__source,source,4,IRMv1,0.0,10,evaluation_label_noise
20,IRMv1__10__u004__K20__counterfactual_red,counterfactual_red,4,IRMv1,0.0,10,evaluation_label_noise
20,IRMv1__10__u004__K20__counterfactual_green,counterfactual_green,4,IRMv1,0.0,10,evaluation_label_noise
20,IRMv1__10__u004__K20__clean_task,clean_task,4,IRMv1,0.0,10,evaluation_label_noise
1,IRMv1__10__u005__K1__source,source,-1,IRMv1,0.8123865723609924,10,source_color_common
1,IRMv1__10__u005__K1__counterfactual_red,counterfactual_red,-1,IRMv1,0.7376590371131897,10,source_color_common
1,IRMv1__10__u005__K1__counterfactual_green,counterfactual_green,-1,IRMv1,0.6616925597190857,10,source_color_common
1,IRMv1__10__u005__K1__clean_task,clean_task,-1,IRMv1,0.04043972119688988,10,source_color_common
5,IRMv1__10__u005__K5__source,source,-1,IRMv1,4.766535758972168,10,source_color_common
5,IRMv1__10__u005__K5__counterfactual_red,counterfactual_red,-1,IRMv1,4.402119159698486,10,source_color_common
5,IRMv1__10__u005__K5__counterfactual_green,counterfactual_green,-1,IRMv1,3.7022159099578857,10,source_color_common
5,IRMv1__10__u005__K5__clean_task,clean_task,-1,IRMv1,0.26532286405563354,10,source_color_common
20,IRMv1__10__u005__K20__source,source,-1,IRMv1,6.111048698425293,10,source_color_common
20,IRMv1__10__u005__K20__counterfactual_red,counterfactual_red,-1,IRMv1,6.003638744354248,10,source_color_common
20,IRMv1__10__u005__K20__counterfactual_green,counterfactual_green,-1,IRMv1,4.057478427886963,10,source_color_common
20,IRMv1__10__u005__K20__clean_task,clean_task,-1,IRMv1,0.7349644303321838,10,source_color_common
1,IRMv1__10__u006__K1__source,source,-1,IRMv1,0.035617925226688385,10,source_color_contrast
1,IRMv1__10__u006__K1__counterfactual_red,counterfactual_red,-1,IRMv1,0.014331209473311901,10,source_color_contrast
1,IRMv1__10__u006__K1__counterfactual_green,counterfactual_green,-1,IRMv1,0.041607558727264404,10,source_color_contrast
1,IRMv1__10__u006__K1__clean_task,clean_task,-1,IRMv1,0.014193732291460037,10,source_color_contrast
5,IRMv1__10__u006__K5__source,source,-1,IRMv1,0.08858025074005127,10,source_color_contrast
5,IRMv1__10__u006__K5__counterfactual_red,counterfactual_red,-1,IRMv1,0.08078563213348389,10,source_color_contrast
5,IRMv1__10__u006__K5__counterfactual_green,counterfactual_green,-1,IRMv1,0.07898188382387161,10,source_color_contrast
5,IRMv1__10__u006__K5__clean_task,clean_task,-1,IRMv1,0.06193021684885025,10,source_color_contrast
20,IRMv1__10__u006__K20__source,source,-1,IRMv1,0.33496522903442383,10,source_color_contrast
20,IRMv1__10__u006__K20__counterfactual_red,counterfactual_red,-1,IRMv1,0.3109874725341797,10,source_color_contrast
20,IRMv1__10__u006__K20__counterfactual_green,counterfactual_green,-1,IRMv1,0.289429247379303,10,source_color_contrast
20,IRMv1__10__u006__K20__clean_task,clean_task,-1,IRMv1,0.2908531725406647,10,source_color_contrast
1,IRMv1__10__u007__K1__source,source,-1,IRMv1,0.574444055557251,10,color_global
1,IRMv1__10__u007__K1__counterfactual_red,counterfactual_red,-1,IRMv1,0.5216037631034851,10,color_global
1,IRMv1__10__u007__K1__counterfactual_green,counterfactual_green,-1,IRMv1,0.467887282371521,10,color_global
1,IRMv1__10__u007__K1__clean_task,clean_task,-1,IRMv1,0.028595203533768654,10,color_global
5,IRMv1__10__u007__K5__source,source,-1,IRMv1,3.3704497814178467,10,color_global
5,IRMv1__10__u007__K5__counterfactual_red,counterfactual_red,-1,IRMv1,3.1127684116363525,10,color_global
5,IRMv1__10__u007__K5__counterfactual_green,counterfactual_green,-1,IRMv1,2.6178619861602783,10,color_global
5,IRMv1__10__u007__K5__clean_task,clean_task,-1,IRMv1,0.18761160969734192,10,color_global
20,IRMv1__10__u007__K20__source,source,-1,IRMv1,4.321164131164551,10,color_global
20,IRMv1__10__u007__K20__counterfactual_red,counterfactual_red,-1,IRMv1,4.245213508605957,10,color_global
20,IRMv1__10__u007__K20__counterfactual_green,counterfactual_green,-1,IRMv1,2.869070529937744,10,color_global
20,IRMv1__10__u007__K20__clean_task,clean_task,-1,IRMv1,0.5196983218193054,10,color_global
1,IRMv1__10__u008__K1__source,source,-1,IRMv1,0.574444055557251,10,color_shift
1,IRMv1__10__u008__K1__counterfactual_red,counterfactual_red,-1,IRMv1,0.5216037631034851,10,color_shift
1,IRMv1__10__u008__K1__counterfactual_green,counterfactual_green,-1,IRMv1,0.467887282371521,10,color_shift
1,IRMv1__10__u008__K1__clean_task,clean_task,-1,IRMv1,0.028595203533768654,10,color_shift
5,IRMv1__10__u008__K5__source,source,-1,IRMv1,3.3704497814178467,10,color_shift
5,IRMv1__10__u008__K5__counterfactual_red,counterfactual_red,-1,IRMv1,3.1127684116363525,10,color_shift
5,IRMv1__10__u008__K5__counterfactual_green,counterfactual_green,-1,IRMv1,2.6178619861602783,10,color_shift
5,IRMv1__10__u008__K5__clean_task,clean_task,-1,IRMv1,0.18761160969734192,10,color_shift
20,IRMv1__10__u008__K20__source,source,-1,IRMv1,4.321164131164551,10,color_shift
20,IRMv1__10__u008__K20__counterfactual_red,counterfactual_red,-1,IRMv1,4.245213508605957,10,color_shift
20,IRMv1__10__u008__K20__counterfactual_green,counterfactual_green,-1,IRMv1,2.869070529937744,10,color_shift
20,IRMv1__10__u008__K20__clean_task,clean_task,-1,IRMv1,0.5196983218193054,10,color_shift
1,IRMv1__10__u009__K1__source,source,-1,IRMv1,2.98264479637146,10,noise_global
1,IRMv1__10__u009__K1__counterfactual_red,counterfactual_red,-1,IRMv1,2.6749610900878906,10,noise_global
1,IRMv1__10__u009__K1__counterfactual_green,counterfactual_green,-1,IRMv1,2.4948372840881348,10,noise_global
1,IRMv1__10__u009__K1__clean_task,clean_task,-1,IRMv1,0.15897588431835175,10,noise_global
5,IRMv1__10__u009__K5__source,source,-1,IRMv1,25.324092864990234,10,noise_global
5,IRMv1__10__u009__K5__counterfactual_red,counterfactual_red,-1,IRMv1,22.07147979736328,10,noise_global
5,IRMv1__10__u009__K5__counterfactual_green,counterfactual_green,-1,IRMv1,21.77476692199707,10,noise_global
5,IRMv1__10__u009__K5__clean_task,clean_task,-1,IRMv1,1.67917799949646,10,noise_global
20,IRMv1__10__u009__K20__source,source,-1,IRMv1,23.389039993286133,10,noise_global
20,IRMv1__10__u009__K20__counterfactual_red,counterfactual_red,-1,IRMv1,21.136240005493164,10,noise_global
20,IRMv1__10__u009__K20__counterfactual_green,counterfactual_green,-1,IRMv1,19.12710952758789,10,noise_global
20,IRMv1__10__u009__K20__clean_task,clean_task,-1,IRMv1,1.0440855026245117,10,noise_global
1,IRMv1__10__u010__K1__source,source,-1,IRMv1,2.98264479637146,10,noise_shift
1,IRMv1__10__u010__K1__counterfactual_red,counterfactual_red,-1,IRMv1,2.6749610900878906,10,noise_shift
1,IRMv1__10__u010__K1__counterfactual_green,counterfactual_green,-1,IRMv1,2.4948372840881348,10,noise_shift
1,IRMv1__10__u010__K1__clean_task,clean_task,-1,IRMv1,0.15897588431835175,10,noise_shift
5,IRMv1__10__u010__K5__source,source,-1,IRMv1,25.324092864990234,10,noise_shift
5,IRMv1__10__u010__K5__counterfactual_red,counterfactual_red,-1,IRMv1,22.07147979736328,10,noise_shift
5,IRMv1__10__u010__K5__counterfactual_green,counterfactual_green,-1,IRMv1,21.77476692199707,10,noise_shift
5,IRMv1__10__u010__K5__clean_task,clean_task,-1,IRMv1,1.67917799949646,10,noise_shift
20,IRMv1__10__u010__K20__source,source,-1,IRMv1,23.389039993286133,10,noise_shift
20,IRMv1__10__u010__K20__counterfactual_red,counterfactual_red,-1,IRMv1,21.136240005493164,10,noise_shift
20,IRMv1__10__u010__K20__counterfactual_green,counterfactual_green,-1,IRMv1,19.12710952758789,10,noise_shift
20,IRMv1__10__u010__K20__clean_task,clean_task,-1,IRMv1,1.0440855026245117,10,noise_shift
1,VREX__10__u000__K1__source,source,0,VREX,0.6747755408287048,10,source_env0_color
1,VREX__10__u000__K1__counterfactual_red,counterfactual_red,0,VREX,0.4143963158130646,10,source_env0_color
1,VREX__10__u000__K1__counterfactual_green,counterfactual_green,0,VREX,0.766021728515625,10,source_env0_color
1,VREX__10__u000__K1__clean_task,clean_task,0,VREX,0.1401016265153885,10,source_env0_color
5,VREX__10__u000__K5__source,source,0,VREX,5.6919264793396,10,source_env0_color
5,VREX__10__u000__K5__counterfactual_red,counterfactual_red,0,VREX,3.9723284244537354,10,source_env0_color
5,VREX__10__u000__K5__counterfactual_green,counterfactual_green,0,VREX,6.138373851776123,10,source_env0_color
5,VREX__10__u000__K5__clean_task,clean_task,0,VREX,0.9425123333930969,10,source_env0_color
20,VREX__10__u000__K20__source,source,0,VREX,5.254523754119873,10,source_env0_color
20,VREX__10__u000__K20__counterfactual_red,counterfactual_red,0,VREX,6.030998706817627,10,source_env0_color
20,VREX__10__u000__K20__counterfactual_green,counterfactual_green,0,VREX,2.306774616241455,10,source_env0_color
20,VREX__10__u000__K20__clean_task,clean_task,0,VREX,2.526852607727051,10,source_env0_color
1,VREX__10__u001__K1__source,source,1,VREX,0.6695235967636108,10,source_env1_color
1,VREX__10__u001__K1__counterfactual_red,counterfactual_red,1,VREX,0.4160747528076172,10,source_env1_color
